"NBRE_PLACE,N,5,0","IMPLANTATI,C,20","SV,C,20","SH,C,20","DIMENSIONS,C,50","ACCES_TROT,C,50","ARRETE,C,50"
1,"Longitudinal","Conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Epi","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Epi","Conforme","Conforme","Conforme","Conforme",
1,"Epi","Conforme","Conforme","Conforme","Conforme",
1,"Epi","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Epi","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Epi","Conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Non conforme","Conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Non conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Conforme","Non conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Non conforme",
2,"Longitudinal","Non conforme","Non conforme","Conforme","Conforme",
1,"Epi","Conforme","Non conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Conforme","Non conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Non conforme","Conforme","Conforme",
2,"Perpendiculaire","Conforme","Non conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
5,"Perpendiculaire","Non conforme","Conforme","Conforme","Conforme",
2,"Longitudinal","Non conforme","Conforme","Conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
2,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Conforme",
1,"Epi","Non conforme","Conforme","Non conforme","Non conforme",
2,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
4,"Longitudinal","Non conforme","Conforme","Conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
2,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Epi","Non conforme","Conforme","Conforme","Non conforme",
2,"Perpendiculaire","Non conforme","Conforme","Conforme","Conforme",
3,"Perpendiculaire","Non conforme","Conforme","Conforme","Conforme",
2,"Perpendiculaire","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
2,"Longitudinal","Non conforme","Conforme","Conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Conforme","Non conforme",
2,"Perpendiculaire","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Non conforme",
2,"Longitudinal","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
2,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Epi","Conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Non conforme",
2,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Epi","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme",,
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
2,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Epi","Conforme","Conforme","Non conforme","Non conforme",
2,"Longitudinal","Conforme","Conforme","Conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Non conforme",
2,"Longitudinal","Non conforme","Non conforme","Non conforme","Non conforme",
4,"Longitudinal","Non conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Epi","Non conforme","Non conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Non conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Non conforme",
2,"Perpendiculaire","Non conforme","Non conforme","Conforme","Conforme",
1,"Epi","Non conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Non conforme","Conforme","Non conforme",
1,"Longitudinal","Non conforme","Non conforme","Conforme","Conforme",
2,"Perpendiculaire","Non conforme","Non conforme","Conforme","Non conforme",
1,"Epi","Non conforme","Non conforme","Conforme","Non conforme",
2,"Longitudinal","Non conforme","Conforme","Non conforme","Conforme",
2,"Longitudinal","Non conforme","Conforme","Non conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Non conforme","Non conforme","Non conforme",
2,"Longitudinal","Non conforme","Conforme","Conforme","Conforme",
1,"Longitudinal","Conforme","Non conforme","Non conforme","Non conforme",
2,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Non conforme","Non conforme","Non conforme",
1,"Longitudinal","Non conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Conforme",
1,"Epi","Non conforme","Non conforme","Conforme","Conforme",
2,"Perpendiculaire","Non conforme","Non conforme","Conforme","Non conforme",
1,"Epi","Non conforme","Non conforme","Conforme","Conforme",
2,"Longitudinal","Non conforme","Non conforme","Conforme","Conforme",
2,"Longitudinal","Conforme","Non conforme","Conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Non conforme","Non conforme","Conforme",
5,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Conforme","Non conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Non conforme","Non conforme","Conforme",
2,"Perpendiculaire","Conforme","Conforme","Non conforme","Conforme",
2,"Perpendiculaire","Conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
1,"Perpendiculaire","Non conforme","Conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Non conforme","Non conforme",
1,"Epi","Conforme","Non conforme","Non conforme","Conforme",
4,"Perpendiculaire","Non conforme","Non conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Non conforme","Conforme",
2,"Longitudinal","Conforme","Conforme","Non conforme","Non conforme",
3,"Longitudinal","Conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Conforme","Non conforme","Non conforme","Conforme",
1,"Longitudinal","Non conforme","Non conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Conforme","Non conforme","Conforme",
2,"Longitudinal","Conforme","Non conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Non conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Non conforme","Non conforme","Conforme",
2,"Perpendiculaire","Conforme","Non conforme","Non conforme","Conforme",
1,"Perpendiculaire","Conforme","Non conforme","Non conforme","Conforme",
2,"Perpendiculaire","Non conforme","Non conforme","Non conforme","Conforme",
